Moive_ID,Movie Rating,Duration,Gross_M,Worldwide LT Gross,Metascore,movie_age,Actionn,Comedy,Drama,Romance,Horror,Sci_fi,Family,Vote_Catg
Pretty Woman_1990,7.1,119,178,463406268,51,33,0,1,0,1,0,0,0,Adequate
Cars_2006,7.2,117,244,461991867,73,17,0,1,0,0,0,0,0,Adequate
Ba bai_2020,6.7,149,0,461421559,64,3,1,0,1,0,0,0,0,Low
X-Men: The Last Stand_2006,6.6,104,234,460435291,58,17,1,0,0,0,0,1,0,Adequate
National Treasure: Book of Secrets_2007,6.5,124,219,459242249,48,16,1,0,0,0,0,0,0,Adequate
Lucy_2014,6.4,89,126,458863600,61,9,1,0,0,0,0,1,0,Adequate
Mission: Impossible_1996,7.1,110,180,457696391,59,27,1,0,0,0,0,0,0,Adequate
300_2006,7.6,117,210,456082343,52,17,1,0,1,0,0,0,0,Adequate
The Last Samurai_2003,7.8,154,111,454627263,55,20,1,0,1,0,0,0,0,Adequate
Kimetsu no Yaiba: Mugen Ressha-Hen_2020,8.2,117,47,453210959,72,3,1,0,0,0,0,0,0,Satisfactory
Wo bu shi yao shen_2018,7.8,117,0,451183391,63,5,0,1,1,0,0,0,0,Low
Ocean's Eleven_2001,7.7,116,183,450717150,74,22,0,0,0,0,0,0,0,Adequate
Wo he wo de zu guo_2019,6.3,154,2,450064993,NULL,4,0,0,1,0,0,0,0,Low
Thor_2011,7,115,181,449326618,57,12,1,0,0,0,0,0,0,Adequate
Pearl Harbor_2001,6.2,183,198,449220945,44,22,1,0,1,0,0,0,0,Adequate
La La Land_2016,8,128,151,448906865,94,7,0,1,1,0,0,0,0,Adequate
Tarzan_1999,7.3,88,171,448191819,79,24,0,1,0,0,0,0,0,Adequate
Men in Black II_2002,6.1,88,190,445135288,49,21,1,1,0,0,0,0,0,Adequate
The Bourne Ultimatum_2007,8,115,227,444100035,85,16,1,0,0,0,0,0,0,Adequate
The Mummy Returns_2001,6.4,130,202,443280904,48,22,1,0,0,0,0,0,0,Adequate
Alvin and the Chipmunks: The Squeakquel_2009,4.5,88,219,443140005,41,14,0,1,0,0,0,0,0,Satisfactory
